,Datum,Aantal,Cumsum,Brandstoftype
0,2015-03-01,3,3,LNG
1,2015-06-01,1,4,LNG
2,2015-07-01,1,5,LNG
3,2015-09-01,3,8,LNG
4,2015-10-01,2,10,LNG
5,2015-11-01,3,13,LNG
6,2015-12-01,1,14,LNG
7,2016-01-01,4,18,LNG
8,2016-02-01,1,19,LNG
9,2016-03-01,4,23,LNG
10,2016-04-01,8,31,LNG
11,2016-05-01,1,32,LNG
12,2016-06-01,3,35,LNG
13,2016-09-01,1,36,LNG
14,2016-10-01,4,40,LNG
15,2016-11-01,1,41,LNG
16,2016-12-01,15,56,LNG
17,2017-01-01,9,65,LNG
18,2017-02-01,3,68,LNG
19,2017-04-01,3,71,LNG
20,2017-05-01,12,83,LNG
21,2017-06-01,1,84,LNG
22,2017-07-01,10,94,LNG
23,2017-08-01,4,98,LNG
24,2017-09-01,3,101,LNG
25,2017-10-01,4,105,LNG
26,2017-11-01,24,129,LNG
27,2017-12-01,12,141,LNG
28,2018-01-01,4,145,LNG
29,2018-02-01,3,148,LNG
30,2018-03-01,2,150,LNG
31,2018-04-01,2,152,LNG
32,2018-05-01,5,157,LNG
33,2018-06-01,4,161,LNG
34,2018-07-01,10,171,LNG
35,2018-08-01,14,185,LNG
36,2018-09-01,8,193,LNG
37,2018-10-01,24,217,LNG
38,2018-11-01,11,228,LNG
39,2018-12-01,5,233,LNG
40,2019-01-01,31,264,LNG
41,2019-02-01,19,283,LNG
42,2019-03-01,25,308,LNG
43,2019-04-01,14,322,LNG
44,2019-05-01,13,335,LNG
45,2019-06-01,21,356,LNG
46,2019-07-01,4,360,LNG
47,2019-08-01,9,369,LNG
48,2019-09-01,10,379,LNG
49,2019-10-01,3,382,LNG
50,2019-11-01,5,387,LNG
51,2019-12-01,11,398,LNG
52,2020-01-01,20,418,LNG
53,2020-02-01,9,427,LNG
54,2020-03-01,34,461,LNG
55,2020-04-01,29,490,LNG
56,2020-05-01,20,510,LNG
57,2020-06-01,8,518,LNG
58,2020-07-01,7,525,LNG
59,2020-08-01,13,538,LNG
60,2020-09-01,24,562,LNG
61,2020-10-01,17,579,LNG
62,2020-11-01,24,603,LNG
63,2020-12-01,19,622,LNG
64,2021-01-01,45,667,LNG
65,2021-02-01,42,709,LNG
66,2021-03-01,46,755,LNG
67,2021-04-01,53,808,LNG
68,2021-05-01,46,854,LNG
69,2021-06-01,47,901,LNG
70,2021-07-01,16,917,LNG
71,2021-08-01,21,938,LNG
72,2021-09-01,19,957,LNG
73,2021-10-01,19,976,LNG
74,2021-11-01,52,1028,LNG
75,2021-12-01,40,1068,LNG
76,2022-01-01,42,1110,LNG
77,2022-02-01,24,1134,LNG
78,2022-03-01,16,1150,LNG
79,2022-04-01,21,1171,LNG
80,2022-05-01,18,1189,LNG
81,2022-06-01,22,1211,LNG
82,2022-07-01,13,1224,LNG
83,2022-08-01,3,1227,LNG
84,2022-09-01,3,1230,LNG
85,2022-10-01,4,1234,LNG
